OPL SKU,Qty.,Parts
0100020P1, 6, C1 C2 C5 C6 C7 C8
0100080P1, 1, C4
301010163, 16, R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20
0900120P1, 1, L4

900074001, 1, IC2
