OPL SKU,Qty.,Parts
0100020P1, 8, C1 C2 C3 C4 C6 C7 C8 C9
0100080P1, 1, C4
301010163, 30, R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34
0900120P1, 1, L4

900074001, 1, IC2
