OPL SKU,Qty.,Parts
0100020P1, 2, C4 C5
0100080P1, 1, C3
0100350P1, 1, C7
0010430P1, 2, R3 R4
0030110P1, 16, R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37	( actually this is a 1206 package! Will it fit?)
0010170P1, 1, R21
900073001, 1, IC4
900074001, 1, IC3
