OPL SKU,Qty.,Parts
0100020P1, 2, C1 C2
0100080P1, 1, C3
900076001, 1, IC1
900073001, 1, IC2
900075001, 4, OK1 OK2 OK3 OK4
0010430P1, 10, R3 R4 R13 R14 R15 R16 R17 R18 R19 R20 
0010170P1, 1, R21
