OPL SKU,Qty.,Parts
0100020P1, 4, C1 C2 C4 C5
0100080P1, 1, C3
0100350P1, 1, C7
[ULN2803A], 1, IC1
900073001, 2, IC2, IC4
900074001, 1, IC3
900075001, 4, OK1 OK2 OK3 OK4
0010430P1, 10, R3 R4 R13 R14 R15 R16 R17 R18 R19 R20
0030110P1, 16, R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37
0010170P1, 1, R21
