OPL SKU,Qty.,Parts
0100020P1, 9, C1 C2 C4 C5 C8 C10 C11 C12 C13
0100350P1, 1, C7
0011330P1, 8, R13 R14 R15 R16 R17 R18 R19 R20
0030110P1, 18, R3 R4 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37
0011240P1, 1, R21
301010189, 2, R1 R2
